go_id	go_term_name	go_namespace	ontology
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	biological_process	BP
GO:0006081	aldehyde metabolic process	biological_process	BP
GO:0006084	acetyl-CoA metabolic process	biological_process	BP
GO:0006085	acetyl-CoA biosynthetic process	biological_process	BP
GO:0006086	acetyl-CoA biosynthetic process from pyruvate	biological_process	BP
GO:0006090	pyruvate metabolic process	biological_process	BP
GO:0006094	gluconeogenesis	biological_process	BP
GO:0006096	glycolytic process	biological_process	BP
GO:0006097	glyoxylate cycle	biological_process	BP
GO:0006098	pentose-phosphate shunt	biological_process	BP
GO:0006099	tricarboxylic acid cycle	biological_process	BP
GO:0006101	citrate metabolic process	biological_process	BP
GO:0006102	isocitrate metabolic process	biological_process	BP
GO:0006106	fumarate metabolic process	biological_process	BP
GO:0006107	oxaloacetate metabolic process	biological_process	BP
GO:0006108	malate metabolic process	biological_process	BP
GO:0006114	glycerol biosynthetic process	biological_process	BP
GO:0006116	NADH oxidation	biological_process	BP
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	biological_process	BP
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	biological_process	BP
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process	BP
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	biological_process	BP
GO:0006139	nucleobase-containing compound metabolic process	biological_process	BP
GO:0006144	purine nucleobase metabolic process	biological_process	BP
GO:0006152	purine nucleoside catabolic process	biological_process	BP
GO:0006163	purine nucleotide metabolic process	biological_process	BP
GO:0006164	purine nucleotide biosynthetic process	biological_process	BP
GO:0006166	purine ribonucleoside salvage	biological_process	BP
GO:0006168	adenine salvage	biological_process	BP
GO:0006169	adenosine salvage	biological_process	BP
GO:0006177	GMP biosynthetic process	biological_process	BP
GO:0006183	GTP biosynthetic process	biological_process	BP
GO:0006188	IMP biosynthetic process	biological_process	BP
GO:0006189	'de novo' IMP biosynthetic process	biological_process	BP
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	biological_process	BP
GO:0006208	pyrimidine nucleobase catabolic process	biological_process	BP
GO:0006221	pyrimidine nucleotide biosynthetic process	biological_process	BP
GO:0006223	uracil salvage	biological_process	BP
GO:0006226	dUMP biosynthetic process	biological_process	BP
GO:0006228	UTP biosynthetic process	biological_process	BP
GO:0006231	dTMP biosynthetic process	biological_process	BP
GO:0006233	dTDP biosynthetic process	biological_process	BP
GO:0006241	CTP biosynthetic process	biological_process	BP
GO:0006253	dCTP catabolic process	biological_process	BP
GO:0006259	DNA metabolic process	biological_process	BP
GO:0006260	DNA replication	biological_process	BP
GO:0006261	DNA-templated DNA replication	biological_process	BP
GO:0006265	DNA topological change	biological_process	BP
GO:0006269	DNA replication, synthesis of primer	biological_process	BP
GO:0006270	DNA replication initiation	biological_process	BP
GO:0006271	DNA strand elongation involved in DNA replication	biological_process	BP
GO:0006275	regulation of DNA replication	biological_process	BP
GO:0006278	RNA-templated DNA biosynthetic process	biological_process	BP
GO:0006281	DNA repair	biological_process	BP
GO:0006282	regulation of DNA repair	biological_process	BP
GO:0006283	transcription-coupled nucleotide-excision repair	biological_process	BP
GO:0006284	base-excision repair	biological_process	BP
GO:0006285	base-excision repair, AP site formation	biological_process	BP
GO:0006289	nucleotide-excision repair	biological_process	BP
GO:0006298	mismatch repair	biological_process	BP
GO:0006301	postreplication repair	biological_process	BP
GO:0006302	double-strand break repair	biological_process	BP
GO:0006303	double-strand break repair via nonhomologous end joining	biological_process	BP
GO:0006307	DNA alkylation repair	biological_process	BP
GO:0006308	DNA catabolic process	biological_process	BP
GO:0006310	DNA recombination	biological_process	BP
GO:0006325	chromatin organization	biological_process	BP
GO:0006334	nucleosome assembly	biological_process	BP
GO:0006335	DNA replication-dependent chromatin assembly	biological_process	BP
GO:0006338	chromatin remodeling	biological_process	BP
GO:0006346	DNA methylation-dependent constitutive heterochromatin formation	biological_process	BP
GO:0006351	DNA-templated transcription	biological_process	BP
GO:0006352	DNA-templated transcription initiation	biological_process	BP
GO:0006353	DNA-templated transcription termination	biological_process	BP
GO:0006354	DNA-templated transcription elongation	biological_process	BP
GO:0006355	regulation of DNA-templated transcription	biological_process	BP
GO:0006357	regulation of transcription by RNA polymerase II	biological_process	BP
GO:0006360	transcription by RNA polymerase I	biological_process	BP
GO:0006361	transcription initiation at RNA polymerase I promoter	biological_process	BP
GO:0006364	rRNA processing	biological_process	BP
GO:0006366	transcription by RNA polymerase II	biological_process	BP
GO:0006367	transcription initiation at RNA polymerase II promoter	biological_process	BP
GO:0006368	transcription elongation by RNA polymerase II	biological_process	BP
GO:0006369	termination of RNA polymerase II transcription	biological_process	BP
GO:0006370	7-methylguanosine mRNA capping	biological_process	BP
GO:0006376	mRNA splice site recognition	biological_process	BP
GO:0006383	transcription by RNA polymerase III	biological_process	BP
GO:0006384	transcription initiation at RNA polymerase III promoter	biological_process	BP
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	biological_process	BP
GO:0006396	RNA processing	biological_process	BP
GO:0006397	mRNA processing	biological_process	BP
GO:0006398	mRNA 3'-end processing by stem-loop binding and cleavage	biological_process	BP
GO:0006399	tRNA metabolic process	biological_process	BP
GO:0006400	tRNA modification	biological_process	BP
GO:0006401	RNA catabolic process	biological_process	BP
GO:0006402	mRNA catabolic process	biological_process	BP
GO:0006405	RNA export from nucleus	biological_process	BP
GO:0006406	mRNA export from nucleus	biological_process	BP
GO:0006408	snRNA export from nucleus	biological_process	BP
GO:0006409	tRNA export from nucleus	biological_process	BP
GO:0006412	translation	biological_process	BP
GO:0006413	translational initiation	biological_process	BP
GO:0006414	translational elongation	biological_process	BP
GO:0006415	translational termination	biological_process	BP
GO:0006417	regulation of translation	biological_process	BP
GO:0006418	tRNA aminoacylation for protein translation	biological_process	BP
GO:0006419	alanyl-tRNA aminoacylation	biological_process	BP
GO:0006420	arginyl-tRNA aminoacylation	biological_process	BP
GO:0006421	asparaginyl-tRNA aminoacylation	biological_process	BP
GO:0006422	aspartyl-tRNA aminoacylation	biological_process	BP
GO:0006423	cysteinyl-tRNA aminoacylation	biological_process	BP
GO:0006424	glutamyl-tRNA aminoacylation	biological_process	BP
GO:0006425	glutaminyl-tRNA aminoacylation	biological_process	BP
GO:0006426	glycyl-tRNA aminoacylation	biological_process	BP
GO:0006427	histidyl-tRNA aminoacylation	biological_process	BP
GO:0006428	isoleucyl-tRNA aminoacylation	biological_process	BP
GO:0006429	leucyl-tRNA aminoacylation	biological_process	BP
GO:0006430	lysyl-tRNA aminoacylation	biological_process	BP
GO:0006431	methionyl-tRNA aminoacylation	biological_process	BP
GO:0006432	phenylalanyl-tRNA aminoacylation	biological_process	BP
GO:0006433	prolyl-tRNA aminoacylation	biological_process	BP
GO:0006434	seryl-tRNA aminoacylation	biological_process	BP
GO:0006435	threonyl-tRNA aminoacylation	biological_process	BP
GO:0006436	tryptophanyl-tRNA aminoacylation	biological_process	BP
GO:0006437	tyrosyl-tRNA aminoacylation	biological_process	BP
GO:0006438	valyl-tRNA aminoacylation	biological_process	BP
GO:0006446	regulation of translational initiation	biological_process	BP
GO:0006450	regulation of translational fidelity	biological_process	BP
GO:0006457	protein folding	biological_process	BP
GO:0006465	signal peptide processing	biological_process	BP
GO:0006468	protein phosphorylation	biological_process	BP
GO:0006470	protein dephosphorylation	biological_process	BP
GO:0006474	N-terminal protein amino acid acetylation	biological_process	BP
GO:0006479	protein methylation	biological_process	BP
GO:0006480	N-terminal protein amino acid methylation	biological_process	BP
GO:0006481	C-terminal protein methylation	biological_process	BP
GO:0006482	protein demethylation	biological_process	BP
GO:0006486	protein glycosylation	biological_process	BP
GO:0006487	protein N-linked glycosylation	biological_process	BP
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	biological_process	BP
GO:0006491	N-glycan processing	biological_process	BP
GO:0006493	protein O-linked glycosylation	biological_process	BP
GO:0006499	N-terminal protein myristoylation	biological_process	BP
GO:0006505	GPI anchor metabolic process	biological_process	BP
GO:0006506	GPI anchor biosynthetic process	biological_process	BP
GO:0006508	proteolysis	biological_process	BP
GO:0006511	ubiquitin-dependent protein catabolic process	biological_process	BP
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	biological_process	BP
GO:0006520	amino acid metabolic process	biological_process	BP
GO:0006525	arginine metabolic process	biological_process	BP
GO:0006526	L-arginine biosynthetic process	biological_process	BP
GO:0006527	arginine catabolic process	biological_process	BP
GO:0006529	asparagine biosynthetic process	biological_process	BP
GO:0006534	cysteine metabolic process	biological_process	BP
GO:0006535	cysteine biosynthetic process from serine	biological_process	BP
GO:0006536	glutamate metabolic process	biological_process	BP
GO:0006537	glutamate biosynthetic process	biological_process	BP
GO:0006538	glutamate catabolic process	biological_process	BP
GO:0006541	glutamine metabolic process	biological_process	BP
GO:0006542	glutamine biosynthetic process	biological_process	BP
GO:0006544	glycine metabolic process	biological_process	BP
GO:0006546	glycine catabolic process	biological_process	BP
GO:0006553	lysine metabolic process	biological_process	BP
GO:0006555	methionine metabolic process	biological_process	BP
GO:0006556	S-adenosylmethionine biosynthetic process	biological_process	BP
GO:0006559	L-phenylalanine catabolic process	biological_process	BP
GO:0006560	proline metabolic process	biological_process	BP
GO:0006561	proline biosynthetic process	biological_process	BP
GO:0006562	proline catabolic process	biological_process	BP
GO:0006563	L-serine metabolic process	biological_process	BP
GO:0006564	L-serine biosynthetic process	biological_process	BP
GO:0006566	threonine metabolic process	biological_process	BP
GO:0006567	threonine catabolic process	biological_process	BP
GO:0006568	tryptophan metabolic process	biological_process	BP
GO:0006570	tyrosine metabolic process	biological_process	BP
GO:0006571	tyrosine biosynthetic process	biological_process	BP
GO:0006572	tyrosine catabolic process	biological_process	BP
GO:0006574	valine catabolic process	biological_process	BP
GO:0006591	ornithine metabolic process	biological_process	BP
GO:0006595	polyamine metabolic process	biological_process	BP
GO:0006596	polyamine biosynthetic process	biological_process	BP
GO:0006597	spermine biosynthetic process	biological_process	BP
GO:0006605	protein targeting	biological_process	BP
GO:0006606	protein import into nucleus	biological_process	BP
GO:0006611	protein export from nucleus	biological_process	BP
GO:0006612	protein targeting to membrane	biological_process	BP
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	biological_process	BP
