KO	pathway
K22933	ko00040
K22935	ko00040
K22994	ko00040
K24442	ko00040
K24443	ko00040
K24707	ko00040
K25879	ko00040
K25880	ko00040
K25881	ko00040
K26066	ko00040
K26933	ko00040
K28606	ko00040
K28660	ko00040
K28749	ko00040
K28750	ko00040
K00007	ko00051
K00008	ko00051
K00009	ko00051
K00011	ko00051
K00045	ko00051
K00064	ko00051
K00066	ko00051
K00068	ko00051
K00594	ko00051
K00844	ko00051
K00846	ko00051
K00847	ko00051
K00848	ko00051
K00850	ko00051
K00863	ko00051
K00879	ko00051
K00881	ko00051
K00882	ko00051
K00895	ko00051
K00900	ko00051
K00966	ko00051
K00971	ko00051
K00976	ko00051
K01086	ko00051
K01103	ko00051
K01218	ko00051
K01622	ko00051
K01623	ko00051
K01624	ko00051
K01628	ko00051
K01629	ko00051
K01711	ko00051
K01729	ko00051
K01795	ko00051
K01803	ko00051
K01805	ko00051
K01808	ko00051
K01809	ko00051
K01813	ko00051
K01818	ko00051
K01820	ko00051
K01840	ko00051
K02377	ko00051
K02446	ko00051
K02768	ko00051
K02769	ko00051
K02770	ko00051
K02771	ko00051
K02781	ko00051
K02782	ko00051
K02783	ko00051
K02793	ko00051
K02794	ko00051
K02795	ko00051
K02796	ko00051
K02798	ko00051
K02800	ko00051
K02812	ko00051
K02813	ko00051
K02814	ko00051
K02815	ko00051
K03332	ko00051
K03841	ko00051
K04041	ko00051
K05305	ko00051
K05947	ko00051
K07026	ko00051
K07046	ko00051
K08261	ko00051
K11194	ko00051
K11195	ko00051
K11196	ko00051
K11532	ko00051
K11645	ko00051
K12660	ko00051
K12661	ko00051
K14634	ko00051
K15778	ko00051
K15856	ko00051
K15916	ko00051
K16011	ko00051
K16305	ko00051
K16306	ko00051
K16370	ko00051
K16881	ko00051
K17195	ko00051
K17497	ko00051
K17742	ko00051
K18333	ko00051
K18334	ko00051
K18335	ko00051
K18336	ko00051
K18337	ko00051
K18338	ko00051
K18339	ko00051
K18447	ko00051
K18818	ko00051
K19028	ko00051
K19029	ko00051
K19030	ko00051
K19270	ko00051
K19290	ko00051
K19291	ko00051
K19355	ko00051
K19633	ko00051
K19956	ko00051
K21071	ko00051
K21620	ko00051
K21883	ko00051
K22252	ko00051
K24182	ko00051
K24204	ko00051
K25814	ko00051
K26911	ko00051
K27475	ko00051
K27924	ko00051
K28465	ko00051
K28472	ko00051
K28607	ko00051
K28751	ko00051
K28849	ko00051
K00011	ko00052
K00035	ko00052
K00094	ko00052
K00704	ko00052
K00844	ko00052
K00845	ko00052
K00849	ko00052
K00850	ko00052
K00883	ko00052
K00917	ko00052
K00963	ko00052
K00965	ko00052
K01084	ko00052
K01182	ko00052
K01187	ko00052
K01189	ko00052
K01190	ko00052
K01193	ko00052
K01203	ko00052
K01220	ko00052
K01229	ko00052
K01631	ko00052
K01635	ko00052
K01684	ko00052
K01784	ko00052
K01785	ko00052
K01804	ko00052
K01819	ko00052
K01835	ko00052
K01854	ko00052
K02079	ko00052
K02082	ko00052
K02744	ko00052
K02745	ko00052
K02746	ko00052
K02747	ko00052
K02773	ko00052
K02774	ko00052
K02775	ko00052
K02786	ko00052
K02788	ko00052
K04618	ko00052
K05308	ko00052
K06611	ko00052
K06617	ko00052
K07406	ko00052
K07407	ko00052
K07966	ko00052
K07967	ko00052
K08302	ko00052
K10984	ko00052
K10985	ko00052
K10986	ko00052
K11395	ko00052
K12047	ko00052
K12111	ko00052
K12112	ko00052
K12308	ko00052
K12309	ko00052
K12316	ko00052
K12317	ko00052
K12407	ko00052
K12447	ko00052
K15778	ko00052
K15779	ko00052
K16370	ko00052
K16371	ko00052
K17716	ko00052
K18124	ko00052
K18125	ko00052
K18126	ko00052
K18127	ko00052
K18819	ko00052
K21071	ko00052
K21620	ko00052
K21621	ko00052
K21622	ko00052
K22215	ko00052
K25026	ko00052
K28214	ko00052
K28660	ko00052
K28886	ko00052
K28887	ko00052
K28892	ko00052
K28898	ko00052
K00002	ko00053
K00012	ko00053
K00062	ko00053
K00063	ko00053
K00064	ko00053
K00103	ko00053
K00107	ko00053
K00128	ko00053
K00149	ko00053
K00225	ko00053
K00423	ko00053
K00434	ko00053
K00469	ko00053
K00699	ko00053
K00880	ko00053
K01053	ko00053
K01195	ko00053
K01630	ko00053
K01683	ko00053
K01706	ko00053
K01707	ko00053
K01708	ko00053
K02821	ko00053
K02822	ko00053
K03077	ko00053
K03078	ko00053
K03079	ko00053
K03475	ko00053
K03476	ko00053
K08092	ko00053
K08232	ko00053
K08679	ko00053
K10046	ko00053
K10047	ko00053
K12447	ko00053
K13873	ko00053
K13874	ko00053
K13875	ko00053
K13876	ko00053
K13877	ko00053
K14085	ko00053
K14190	ko00053
K14259	ko00053
K14756	ko00053
K16190	ko00053
K17744	ko00053
K18649	ko00053
K18981	ko00053
K18982	ko00053
K18983	ko00053
K19588	ko00053
K19590	ko00053
K19642	ko00053
K19660	ko00053
K20023	ko00053
K21888	ko00053
K23003	ko00053
K23004	ko00053
K23005	ko00053
K23007	ko00053
K24443	ko00053
K25260	ko00053
K28472	ko00053
K00059	ko00061
K00208	ko00061
K00209	ko00061
K00645	ko00061
K00647	ko00061
K00648	ko00061
K00665	ko00061
K00667	ko00061
K00668	ko00061
K01071	ko00061
K01716	ko00061
K01897	ko00061
K01946	ko00061
K01961	ko00061
K01962	ko00061
K01963	ko00061
K02160	ko00061
K02371	ko00061
K02372	ko00061
K03921	ko00061
K03922	ko00061
K07512	ko00061
K09458	ko00061
K10780	ko00061
K10781	ko00061
K10782	ko00061
K11262	ko00061
K11263	ko00061
K11533	ko00061
K11539	ko00061
K13370	ko00061
K15013	ko00061
K16363	ko00061
K18472	ko00061
K18473	ko00061
K18474	ko00061
K18660	ko00061
K22540	ko00061
K22541	ko00061
K28161	ko00061
K00022	ko00062
K01068	ko00062
K01074	ko00062
K07508	ko00062
K07509	ko00062
K07511	ko00062
K07512	ko00062
K07515	ko00062
K10203	ko00062
K10205	ko00062
