KO	pathway
K21289	ko01100
K21292	ko01100
K21295	ko01100
K21297	ko01100
K21301	ko01100
K21302	ko01100
K21307	ko01100
K21308	ko01100
K21309	ko01100
K21310	ko01100
K21317	ko01100
K21318	ko01100
K21319	ko01100
K21320	ko01100
K21321	ko01100
K21322	ko01100
K21328	ko01100
K21344	ko01100
K21345	ko01100
K21354	ko01100
K21359	ko01100
K21360	ko01100
K21362	ko01100
K21371	ko01100
K21374	ko01100
K21379	ko01100
K21418	ko01100
K21425	ko01100
K21428	ko01100
K21456	ko01100
K21464	ko01100
K21465	ko01100
K21466	ko01100
K21469	ko01100
K21477	ko01100
K21479	ko01100
K21480	ko01100
K21539	ko01100
K21540	ko01100
K21568	ko01100
K21574	ko01100
K21607	ko01100
K21610	ko01100
K21611	ko01100
K21612	ko01100
K21618	ko01100
K21619	ko01100
K21620	ko01100
K21621	ko01100
K21622	ko01100
K21623	ko01100
K21636	ko01100
K21639	ko01100
K21647	ko01100
K21648	ko01100
K21672	ko01100
K21680	ko01100
K21681	ko01100
K21692	ko01100
K21693	ko01100
K21721	ko01100
K21722	ko01100
K21723	ko01100
K21724	ko01100
K21749	ko01100
K21750	ko01100
K21778	ko01100
K21779	ko01100
K21780	ko01100
K21781	ko01100
K21782	ko01100
K21783	ko01100
K21784	ko01100
K21785	ko01100
K21786	ko01100
K21787	ko01100
K21791	ko01100
K21792	ko01100
K21793	ko01100
K21795	ko01100
K21797	ko01100
K21798	ko01100
K21801	ko01100
K21832	ko01100
K21833	ko01100
K21834	ko01100
K21836	ko01100
K21840	ko01100
K21883	ko01100
K21888	ko01100
K21895	ko01100
K21896	ko01100
K21898	ko01100
K21925	ko01100
K21926	ko01100
K21938	ko01100
K21949	ko01100
K22002	ko01100
K22003	ko01100
K22004	ko01100
K22005	ko01100
K22011	ko01100
K22012	ko01100
K22015	ko01100
K22026	ko01100
K22065	ko01100
K22081	ko01100
K22082	ko01100
K22083	ko01100
K22084	ko01100
K22085	ko01100
K22086	ko01100
K22087	ko01100
K22089	ko01100
K22093	ko01100
K22094	ko01100
K22095	ko01100
K22096	ko01100
K22097	ko01100
K22098	ko01100
K22099	ko01100
K22100	ko01100
K22101	ko01100
K22102	ko01100
K22113	ko01100
K22114	ko01100
K22133	ko01100
K22185	ko01100
K22186	ko01100
K22187	ko01100
K22199	ko01100
K22203	ko01100
K22207	ko01100
K22208	ko01100
K22210	ko01100
K22211	ko01100
K22212	ko01100
K22214	ko01100
K22215	ko01100
K22223	ko01100
K22224	ko01100
K22225	ko01100
K22226	ko01100
K22227	ko01100
K22229	ko01100
K22230	ko01100
K22231	ko01100
K22232	ko01100
K22233	ko01100
K22251	ko01100
K22252	ko01100
K22268	ko01100
K22269	ko01100
K22283	ko01100
K22284	ko01100
K22292	ko01100
K22305	ko01100
K22311	ko01100
K22316	ko01100
K22323	ko01100
K22326	ko01100
K22327	ko01100
K22328	ko01100
K22329	ko01100
K22330	ko01100
K22337	ko01100
K22345	ko01100
K22353	ko01100
K22354	ko01100
K22355	ko01100
K22356	ko01100
K22357	ko01100
K22358	ko01100
K22359	ko01100
K22360	ko01100
K22361	ko01100
K22362	ko01100
K22365	ko01100
K22373	ko01100
K22374	ko01100
K22387	ko01100
K22389	ko01100
K22391	ko01100
K22392	ko01100
K22393	ko01100
K22394	ko01100
K22395	ko01100
K22396	ko01100
K22397	ko01100
K22410	ko01100
K22417	ko01100
K22427	ko01100
K22433	ko01100
K22434	ko01100
K22435	ko01100
K22436	ko01100
K22437	ko01100
K22450	ko01100
K22451	ko01100
K22457	ko01100
K22458	ko01100
K22465	ko01100
K22470	ko01100
K22473	ko01100
K22474	ko01100
K22476	ko01100
K22477	ko01100
K22478	ko01100
K22480	ko01100
K22481	ko01100
K22482	ko01100
K22492	ko01100
K22501	ko01100
K22502	ko01100
K22515	ko01100
K22516	ko01100
K22539	ko01100
K22540	ko01100
K22541	ko01100
K22548	ko01100
K22549	ko01100
K22550	ko01100
K22554	ko01100
K22568	ko01100
K22569	ko01100
K22570	ko01100
K22571	ko01100
K22572	ko01100
K22573	ko01100
K22574	ko01100
K22575	ko01100
K22588	ko01100
K22596	ko01100
K22598	ko01100
K22600	ko01100
K22601	ko01100
K22602	ko01100
K22622	ko01100
K22676	ko01100
K22677	ko01100
K22699	ko01100
K22706	ko01100
K22715	ko01100
K22716	ko01100
K22717	ko01100
K22748	ko01100
K22769	ko01100
K22770	ko01100
K22772	ko01100
K22798	ko01100
K22799	ko01100
K22800	ko01100
K22801	ko01100
K22802	ko01100
K22813	ko01100
K22831	ko01100
K22842	ko01100
K22846	ko01100
K22847	ko01100
K22848	ko01100
K22849	ko01100
K22879	ko01100
K22881	ko01100
K22896	ko01100
K22897	ko01100
K22898	ko01100
K22899	ko01100
K22906	ko01100
K22911	ko01100
K22912	ko01100
K22913	ko01100
K22920	ko01100
K22925	ko01100
K22926	ko01100
K22933	ko01100
K22934	ko01100
K22935	ko01100
K22949	ko01100
K22954	ko01100
K22955	ko01100
K22956	ko01100
K22957	ko01100
K22966	ko01100
K22968	ko01100
K22969	ko01100
K22982	ko01100
K22993	ko01100
K22994	ko01100
K22997	ko01100
K22998	ko01100
K23003	ko01100
K23004	ko01100
K23005	ko01100
K23006	ko01100
K23007	ko01100
K23037	ko01100
K23082	ko01100
K23083	ko01100
K23094	ko01100
K23095	ko01100
K23109	ko01100
K23120	ko01100
K23121	ko01100
K23122	ko01100
K23123	ko01100
K23124	ko01100
K23144	ko01100
K23146	ko01100
K23157	ko01100
K23158	ko01100
K23159	ko01100
K23169	ko01100
K23170	ko01100
K23179	ko01100
K23180	ko01100
K23232	ko01100
K23233	ko01100
K23234	ko01100
K23257	ko01100
K23259	ko01100
K23264	ko01100
K23265	ko01100
K23269	ko01100
K23270	ko01100
K23276	ko01100
K23304	ko01100
K23359	ko01100
K23362	ko01100
K23370	ko01100
K23371	ko01100
K23372	ko01100
K23373	ko01100
K23374	ko01100
K23375	ko01100
K23385	ko01100
K23393	ko01100
K23446	ko01100
K23447	ko01100
K23451	ko01100
K23458	ko01100
K23462	ko01100
K23470	ko01100
K23485	ko01100
K23486	ko01100
K23492	ko01100
K23493	ko01100
K23494	ko01100
K23529	ko01100
K23550	ko01100
K23552	ko01100
K23553	ko01100
K23558	ko01100
K23646	ko01100
K23647	ko01100
K23665	ko01100
K23666	ko01100
K23667	ko01100
K23668	ko01100
K23669	ko01100
K23670	ko01100
K23671	ko01100
K23672	ko01100
K23673	ko01100
K23700	ko01100
K23727	ko01100
K23734	ko01100
K23735	ko01100
K23736	ko01100
K23737	ko01100
K23741	ko01100
K23750	ko01100
K23756	ko01100
K23763	ko01100
K23790	ko01100
K23825	ko01100
K23862	ko01100
K23975	ko01100
K23976	ko01100
K23977	ko01100
K23987	ko01100
K23990	ko01100
K23992	ko01100
K23995	ko01100
K23999	ko01100
K24000	ko01100
K24007	ko01100
K24008	ko01100
K24009	ko01100
K24010	ko01100
K24011	ko01100
K24012	ko01100
K24017	ko01100
K24018	ko01100
K24034	ko01100
K24042	ko01100
K24071	ko01100
K24102	ko01100
K24108	ko01100
K24109	ko01100
K24110	ko01100
K24111	ko01100
K24112	ko01100
K24136	ko01100
K24137	ko01100
K24138	ko01100
K24182	ko01100
K24189	ko01100
K24204	ko01100
K24221	ko01100
K24222	ko01100
K24242	ko01100
K24249	ko01100
K24250	ko01100
K24251	ko01100
K24257	ko01100
K24258	ko01100
K24259	ko01100
K24263	ko01100
K24264	ko01100
K24276	ko01100
K24277	ko01100
K24280	ko01100
K24281	ko01100
K24282	ko01100
K24283	ko01100
K24284	ko01100
K24285	ko01100
K24287	ko01100
K24292	ko01100
K24300	ko01100
K24303	ko01100
K24304	ko01100
K24306	ko01100
K24307	ko01100
K24310	ko01100
K24311	ko01100
K24312	ko01100
K24326	ko01100
K24327	ko01100
K24336	ko01100
K24372	ko01100
K24390	ko01100
K24393	ko01100
K24405	ko01100
K24406	ko01100
K24407	ko01100
K24438	ko01100
K24439	ko01100
K24440	ko01100
K24442	ko01100
K24443	ko01100
K24460	ko01100
K24528	ko01100
K24529	ko01100
K24530	ko01100
K24531	ko01100
K24541	ko01100
K24555	ko01100
K24556	ko01100
K24557	ko01100
K24558	ko01100
K24559	ko01100
K24560	ko01100
K24561	ko01100
K24562	ko01100
K24563	ko01100
K24564	ko01100
K24565	ko01100
K24566	ko01100
K24567	ko01100
K24568	ko01100
K24569	ko01100
K24621	ko01100
K24622	ko01100
K24666	ko01100
K24670	ko01100
K24689	ko01100
K24707	ko01100
K24843	ko01100
K24844	ko01100
K24845	ko01100
K24855	ko01100
K24856	ko01100
K24857	ko01100
K24858	ko01100
K24866	ko01100
K24871	ko01100
K24952	ko01100
K24953	ko01100
K24954	ko01100
K24955	ko01100
K24998	ko01100
K25004	ko01100
K25007	ko01100
K25008	ko01100
K25009	ko01100
K25026	ko01100
K25031	ko01100
K25032	ko01100
K25033	ko01100
K25035	ko01100
K25072	ko01100
K25073	ko01100
K25074	ko01100
K25075	ko01100
K25123	ko01100
K25162	ko01100
K25210	ko01100
K25220	ko01100
K25221	ko01100
K25260	ko01100
K25261	ko01100
K25262	ko01100
K25271	ko01100
K25272	ko01100
K25305	ko01100
K25314	ko01100
K25315	ko01100
K25316	ko01100
K25317	ko01100
K25364	ko01100
K25365	ko01100
K25434	ko01100
K25435	ko01100
K25496	ko01100
K25497	ko01100
K25498	ko01100
K25499	ko01100
K25500	ko01100
K25517	ko01100
K25518	ko01100
K25528	ko01100
K25562	ko01100
K25563	ko01100
K25570	ko01100
K25571	ko01100
K25574	ko01100
K25581	ko01100
K25583	ko01100
K25584	ko01100
K25589	ko01100
K25594	ko01100
K25597	ko01100
K25598	ko01100
K25626	ko01100
K25641	ko01100
K25774	ko01100
K25779	ko01100
K25801	ko01100
K25814	ko01100
K25824	ko01100
K25879	ko01100
K25880	ko01100
K25881	ko01100
K25901	ko01100
K25915	ko01100
K25959	ko01100
K25960	ko01100
K25961	ko01100
K25985	ko01100
K25986	ko01100
K25995	ko01100
K25996	ko01100
K25998	ko01100
K26037	ko01100
K26038	ko01100
K26057	ko01100
K26058	ko01100
K26061	ko01100
K26062	ko01100
K26063	ko01100
K26064	ko01100
K26065	ko01100
K26069	ko01100
K26070	ko01100
K26071	ko01100
K26110	ko01100
K26113	ko01100
K26114	ko01100
K26115	ko01100
K26138	ko01100
K26139	ko01100
K26175	ko01100
K26176	ko01100
K26177	ko01100
K26178	ko01100
K26208	ko01100
K26210	ko01100
K26211	ko01100
K26212	ko01100
K26217	ko01100
K26235	ko01100
K26318	ko01100
K26355	ko01100
K26400	ko01100
K26481	ko01100
K26482	ko01100
K26483	ko01100
K26484	ko01100
K26485	ko01100
K26487	ko01100
K26488	ko01100
K26489	ko01100
K26490	ko01100
K26491	ko01100
K26493	ko01100
K26494	ko01100
K26495	ko01100
K26911	ko01100
K26933	ko01100
K27001	ko01100
K27070	ko01100
K27071	ko01100
K27072	ko01100
K27073	ko01100
K27074	ko01100
K27093	ko01100
K27094	ko01100
K27095	ko01100
K27109	ko01100
K27148	ko01100
K27187	ko01100
K27188	ko01100
K27189	ko01100
K27190	ko01100
K27191	ko01100
K27196	ko01100
K27306	ko01100
K27308	ko01100
K27359	ko01100
K27382	ko01100
K27394	ko01100
K27475	ko01100
K27501	ko01100
K27502	ko01100
K27503	ko01100
K27536	ko01100
K27538	ko01100
K27539	ko01100
K27540	ko01100
K27542	ko01100
K27545	ko01100
K27599	ko01100
K27600	ko01100
K27602	ko01100
K27636	ko01100
K27675	ko01100
K27683	ko01100
K27684	ko01100
K27689	ko01100
K27775	ko01100
K27776	ko01100
K27777	ko01100
K27778	ko01100
K27779	ko01100
K27780	ko01100
K27781	ko01100
K27782	ko01100
K27783	ko01100
K27784	ko01100
K27786	ko01100
K27787	ko01100
K27788	ko01100
K27789	ko01100
K27790	ko01100
K27791	ko01100
K27792	ko01100
K27793	ko01100
K27794	ko01100
K27795	ko01100
K27796	ko01100
K27797	ko01100
K27802	ko01100
K27844	ko01100
K27849	ko01100
K27850	ko01100
K27853	ko01100
K27857	ko01100
K27877	ko01100
K27880	ko01100
K27881	ko01100
K27886	ko01100
K27925	ko01100
K27969	ko01100
K28013	ko01100
K28034	ko01100
K28060	ko01100
K28061	ko01100
K28065	ko01100
K28066	ko01100
K28067	ko01100
K28068	ko01100
K28069	ko01100
K28070	ko01100
K28071	ko01100
K28072	ko01100
K28073	ko01100
K28125	ko01100
K28126	ko01100
K28161	ko01100
K28178	ko01100
K28179	ko01100
K28180	ko01100
K28192	ko01100
K28194	ko01100
K28195	ko01100
K28199	ko01100
K28203	ko01100
K28204	ko01100
K28205	ko01100
K28207	ko01100
K28208	ko01100
K28214	ko01100
K28301	ko01100
K28316	ko01100
K28354	ko01100
K28368	ko01100
K28462	ko01100
K28465	ko01100
K28472	ko01100
K28477	ko01100
K28482	ko01100
K28483	ko01100
K28484	ko01100
K28504	ko01100
K28522	ko01100
K28556	ko01100
K28560	ko01100
K28561	ko01100
K28606	ko01100
K28607	ko01100
K28615	ko01100
K28631	ko01100
K28632	ko01100
K28633	ko01100
K28634	ko01100
K28635	ko01100
K28636	ko01100
K28637	ko01100
K28642	ko01100
K28643	ko01100
K28644	ko01100
K28645	ko01100
K28646	ko01100
K28652	ko01100
K28660	ko01100
K28682	ko01100
K28683	ko01100
K28684	ko01100
K28691	ko01100
K28694	ko01100
K28695	ko01100
K28696	ko01100
K28697	ko01100
K28698	ko01100
K28699	ko01100
K28700	ko01100
K28702	ko01100
K28703	ko01100
K28704	ko01100
K28705	ko01100
K28706	ko01100
K28707	ko01100
K28708	ko01100
K28715	ko01100
K28726	ko01100
K28727	ko01100
K28728	ko01100
K28729	ko01100
K28747	ko01100
K28748	ko01100
K28749	ko01100
K28750	ko01100
K00001	ko01110
K00002	ko01110
K00003	ko01110
K00004	ko01110
K00005	ko01110
K00006	ko01110
K00010	ko01110
K00011	ko01110
K00013	ko01110
K00014	ko01110
K00015	ko01110
K00016	ko01110
K00018	ko01110
K00021	ko01110
K00022	ko01110
K00024	ko01110
K00025	ko01110
K00026	ko01110
K00030	ko01110
K00031	ko01110
K00033	ko01110
K00036	ko01110
K00049	ko01110
K00052	ko01110
K00053	ko01110
K00054	ko01110
K00057	ko01110
K00058	ko01110
K00059	ko01110
K00064	ko01110
K00067	ko01110
K00077	ko01110
K00082	ko01110
K00083	ko01110
K00088	ko01110
K00090	ko01110
K00096	ko01110
K00099	ko01110
K00104	ko01110
K00105	ko01110
K00106	ko01110
K00111	ko01110
K00112	ko01110
K00113	ko01110
K00114	ko01110
K00115	ko01110
K00116	ko01110
K00117	ko01110
K00121	ko01110
K00128	ko01110
K00129	ko01110
K00133	ko01110
K00134	ko01110
K00138	ko01110
K00143	ko01110
K00145	ko01110
K00147	ko01110
K00149	ko01110
K00150	ko01110
K00161	ko01110
K00162	ko01110
K00163	ko01110
K00164	ko01110
K00166	ko01110
K00167	ko01110
K00169	ko01110
K00170	ko01110
K00171	ko01110
K00172	ko01110
K00174	ko01110
K00175	ko01110
K00176	ko01110
K00177	ko01110
K00189	ko01110
K00208	ko01110
K00209	ko01110
K00211	ko01110
K00213	ko01110
K00214	ko01110
K00215	ko01110
K00216	ko01110
K00218	ko01110
K00220	ko01110
K00222	ko01110
K00223	ko01110
K00224	ko01110
K00225	ko01110
K00227	ko01110
K00228	ko01110
K00230	ko01110
K00231	ko01110
K00232	ko01110
K00233	ko01110
K00234	ko01110
K00235	ko01110
K00236	ko01110
K00237	ko01110
K00239	ko01110
K00240	ko01110
K00241	ko01110
K00242	ko01110
K00244	ko01110
K00245	ko01110
K00246	ko01110
K00247	ko01110
K00248	ko01110
K00249	ko01110
K00252	ko01110
K00263	ko01110
K00264	ko01110
K00265	ko01110
K00266	ko01110
K00270	ko01110
K00271	ko01110
K00273	ko01110
K00274	ko01110
K00276	ko01110
K00279	ko01110
K00281	ko01110
K00282	ko01110
K00283	ko01110
K00286	ko01110
K00290	ko01110
K00293	ko01110
K00307	ko01110
K00318	ko01110
K00355	ko01110
K00382	ko01110
K00422	ko01110
K00430	ko01110
K00435	ko01110
K00454	ko01110
K00475	ko01110
K00487	ko01110
K00491	ko01110
K00495	ko01110
K00501	ko01110
K00505	ko01110
K00510	ko01110
K00511	ko01110
K00514	ko01110
K00544	ko01110
K00547	ko01110
K00548	ko01110
K00549	ko01110
K00550	ko01110
K00551	ko01110
K00559	ko01110
K00568	ko01110
K00570	ko01110
K00587	ko01110
K00588	ko01110
K00589	ko01110
K00591	ko01110
K00600	ko01110
K00601	ko01110
K00602	ko01110
K00605	ko01110
K00606	ko01110
K00611	ko01110
K00615	ko01110
K00616	ko01110
K00618	ko01110
K00619	ko01110
K00620	ko01110
K00622	ko01110
K00626	ko01110
K00627	ko01110
K00629	ko01110
K00631	ko01110
K00632	ko01110
K00635	ko01110
K00640	ko01110
K00641	ko01110
K00643	ko01110
K00645	ko01110
K00651	ko01110
K00655	ko01110
K00658	ko01110
K00660	ko01110
K00679	ko01110
K00688	ko01110
K00693	ko01110
K00695	ko01110
K00696	ko01110
K00697	ko01110
K00699	ko01110
K00700	ko01110
K00703	ko01110
K00705	ko01110
K00750	ko01110
K00760	ko01110
K00764	ko01110
K00765	ko01110
K00766	ko01110
K00769	ko01110
K00787	ko01110
K00789	ko01110
K00791	ko01110
K00793	ko01110
K00794	ko01110
K00795	ko01110
K00797	ko01110
K00800	ko01110
K00801	ko01110
K00804	ko01110
K00805	ko01110
K00806	ko01110
K00808	ko01110
K00811	ko01110
K00812	ko01110
K00813	ko01110
K00815	ko01110
K00816	ko01110
K00817	ko01110
K00818	ko01110
K00819	ko01110
K00821	ko01110
K00825	ko01110
K00826	ko01110
K00827	ko01110
K00830	ko01110
K00831	ko01110
K00832	ko01110
K00835	ko01110
K00836	ko01110
K00838	ko01110
K00841	ko01110
K00844	ko01110
K00845	ko01110
K00847	ko01110
K00850	ko01110
K00851	ko01110
K00861	ko01110
K00863	ko01110
K00864	ko01110
K00865	ko01110
K00869	ko01110
K00872	ko01110
K00873	ko01110
K00886	ko01110
K00891	ko01110
K00895	ko01110
K00901	ko01110
K00918	ko01110
K00919	ko01110
K00926	ko01110
K00927	ko01110
K00928	ko01110
K00930	ko01110
K00931	ko01110
K00938	ko01110
K00939	ko01110
K00940	ko01110
K00944	ko01110
K00948	ko01110
K00953	ko01110
K00955	ko01110
K00956	ko01110
K00957	ko01110
K00958	ko01110
K00963	ko01110
K00966	ko01110
K00971	ko01110
K00973	ko01110
K00975	ko01110
K00981	ko01110
K00991	ko01110
K00993	ko01110
K00997	ko01110
K00998	ko01110
K01004	ko01110
K01006	ko01110
K01007	ko01110
K01046	ko01110
K01047	ko01110
K01053	ko01110
K01054	ko01110
K01057	ko01110
K01058	ko01110
K01059	ko01110
K01060	ko01110
K01068	ko01110
K01075	ko01110
K01079	ko01110
K01080	ko01110
K01081	ko01110
K01084	ko01110
K01086	ko01110
K01087	ko01110
K01089	ko01110
K01091	ko01110
K01092	ko01110
K01114	ko01110
K01115	ko01110
K01176	ko01110
K01177	ko01110
K01187	ko01110
K01188	ko01110
K01193	ko01110
K01194	ko01110
K01195	ko01110
K01196	ko01110
K01200	ko01110
K01203	ko01110
K01208	ko01110
K01214	ko01110
K01236	ko01110
K01239	ko01110
K01252	ko01110
K01424	ko01110
K01425	ko01110
K01434	ko01110
K01438	ko01110
K01457	ko01110
K01476	ko01110
K01478	ko01110
K01480	ko01110
K01490	ko01110
K01492	ko01110
K01496	ko01110
K01497	ko01110
K01498	ko01110
K01509	ko01110
K01510	ko01110
K01513	ko01110
K01521	ko01110
K01523	ko01110
K01568	ko01110
K01575	ko01110
K01579	ko01110
K01580	ko01110
K01581	ko01110
K01582	ko01110
K01583	ko01110
K01584	ko01110
K01585	ko01110
K01586	ko01110
K01587	ko01110
K01588	ko01110
K01589	ko01110
K01590	ko01110
K01592	ko01110
K01593	ko01110
K01596	ko01110
K01597	ko01110
K01599	ko01110
K01601	ko01110
K01602	ko01110
K01609	ko01110
K01610	ko01110
K01611	ko01110
K01613	ko01110
K01616	ko01110
K01620	ko01110
K01622	ko01110
K01623	ko01110
K01624	ko01110
K01626	ko01110
K01637	ko01110
K01638	ko01110
K01641	ko01110
K01647	ko01110
K01648	ko01110
K01649	ko01110
K01652	ko01110
K01653	ko01110
K01655	ko01110
K01656	ko01110
K01657	ko01110
K01658	ko01110
K01659	ko01110
K01661	ko01110
K01662	ko01110
K01663	ko01110
K01675	ko01110
K01676	ko01110
K01677	ko01110
K01678	ko01110
K01679	ko01110
K01681	ko01110
K01682	ko01110
K01687	ko01110
K01689	ko01110
K01692	ko01110
K01693	ko01110
K01694	ko01110
K01695	ko01110
K01696	ko01110
K01697	ko01110
K01698	ko01110
K01702	ko01110
K01703	ko01110
K01704	ko01110
K01705	ko01110
K01710	ko01110
K01713	ko01110
K01714	ko01110
K01715	ko01110
K01719	ko01110
K01723	ko01110
K01733	ko01110
K01735	ko01110
K01736	ko01110
K01738	ko01110
K01739	ko01110
K01742	ko01110
K01749	ko01110
K01750	ko01110
K01752	ko01110
K01754	ko01110
K01755	ko01110
K01756	ko01110
K01757	ko01110
K01758	ko01110
K01760	ko01110
K01762	ko01110
K01770	ko01110
K01772	ko01110
K01774	ko01110
K01778	ko01110
K01782	ko01110
K01783	ko01110
K01785	ko01110
K01790	ko01110
K01792	ko01110
K01803	ko01110
K01807	ko01110
K01808	ko01110
K01809	ko01110
K01810	ko01110
K01814	ko01110
K01817	ko01110
K01823	ko01110
K01824	ko01110
K01825	ko01110
K01828	ko01110
K01834	ko01110
K01835	ko01110
K01837	ko01110
K01840	ko01110
K01841	ko01110
K01845	ko01110
K01850	ko01110
K01851	ko01110
K01852	ko01110
K01853	ko01110
K01858	ko01110
K01859	ko01110
K01885	ko01110
K01895	ko01110
K01899	ko01110
K01900	ko01110
K01902	ko01110
K01903	ko01110
K01904	ko01110
K01911	ko01110
K01913	ko01110
K01914	ko01110
K01915	ko01110
K01918	ko01110
K01923	ko01110
K01933	ko01110
K01940	ko01110
K01941	ko01110
K01945	ko01110
K01946	ko01110
K01952	ko01110
K01953	ko01110
K01954	ko01110
K01955	ko01110
K01956	ko01110
K01957	ko01110
K01961	ko01110
K01962	ko01110
K01963	ko01110
K01964	ko01110
K01965	ko01110
K01966	ko01110
K02078	ko01110
K02160	ko01110
K02203	ko01110
K02204	ko01110
K02257	ko01110
K02259	ko01110
K02291	ko01110
K02292	ko01110
K02293	ko01110
K02294	ko01110
K02302	ko01110
K02303	ko01110
K02304	ko01110
K02361	ko01110
K02362	ko01110
K02363	ko01110
K02364	ko01110
K02437	ko01110
K02439	ko01110
K02446	ko01110
K02492	ko01110
K02495	ko01110
K02496	ko01110
K02500	ko01110
K02501	ko01110
K02502	ko01110
K02523	ko01110
K02548	ko01110
K02549	ko01110
K02551	ko01110
K02552	ko01110
K02566	ko01110
K02626	ko01110
K02858	ko01110
K03179	ko01110
K03181	ko01110
K03182	ko01110
K03183	ko01110
K03184	ko01110
K03185	ko01110
K03186	ko01110
K03334	ko01110
K03340	ko01110
K03366	ko01110
K03378	ko01110
K03403	ko01110
K03404	ko01110
K03405	ko01110
K03428	ko01110
K03526	ko01110
K03527	ko01110
K03621	ko01110
K03737	ko01110
K03781	ko01110
K03782	ko01110
K03783	ko01110
K03784	ko01110
K03785	ko01110
K03786	ko01110
K03787	ko01110
K03794	ko01110
K03809	ko01110
K03816	ko01110
K03823	ko01110
K03841	ko01110
K03856	ko01110
K03894	ko01110
K03895	ko01110
K03896	ko01110
K03897	ko01110
K04022	ko01110
K04034	ko01110
K04035	ko01110
K04036	ko01110
K04037	ko01110
K04038	ko01110
K04039	ko01110
K04040	ko01110
K04041	ko01110
K04072	ko01110
K04092	ko01110
K04093	ko01110
K04120	ko01110
K04121	ko01110
K04122	ko01110
K04123	ko01110
K04124	ko01110
K04125	ko01110
K04126	ko01110
K04127	ko01110
K04128	ko01110
K04339	ko01110
K04340	ko01110
K04341	ko01110
K04342	ko01110
K04486	ko01110
K04516	ko01110
K04517	ko01110
K04518	ko01110
K04714	ko01110
K04781	ko01110
K04782	ko01110
K05277	ko01110
K05278	ko01110
K05279	ko01110
K05280	ko01110
K05281	ko01110
K05282	ko01110
K05342	ko01110
K05343	ko01110
K05349	ko01110
K05350	ko01110
K05353	ko01110
K05354	ko01110
K05355	ko01110
K05356	ko01110
K05357	ko01110
K05358	ko01110
K05359	ko01110
K05369	ko01110
K05370	ko01110
K05371	ko01110
K05375	ko01110
K05525	ko01110
K05551	ko01110
K05552	ko01110
K05553	ko01110
K05554	ko01110
K05555	ko01110
K05556	ko01110
K05597	ko01110
K05602	ko01110
K05821	ko01110
K05822	ko01110
K05823	ko01110
K05824	ko01110
K05825	ko01110
K05828	ko01110
K05829	ko01110
K05830	ko01110
K05878	ko01110
K05887	ko01110
K05894	ko01110
K05901	ko01110
K05906	ko01110
K05917	ko01110
K05928	ko01110
K05933	ko01110
K05942	ko01110
K05953	ko01110
K05954	ko01110
K05955	ko01110
K05957	ko01110
K05992	ko01110
K06001	ko01110
K06013	ko01110
K06044	ko01110
K06045	ko01110
K06116	ko01110
K06117	ko01110
K06118	ko01110
K06119	ko01110
K06125	ko01110
K06126	ko01110
K06127	ko01110
K06134	ko01110
K06208	ko01110
K06209	ko01110
K06443	ko01110
K06444	ko01110
K06859	ko01110
K06863	ko01110
K06892	ko01110
K06900	ko01110
K06928	ko01110
K06981	ko01110
K06998	ko01110
K07024	ko01110
K07029	ko01110
K07094	ko01110
K07145	ko01110
K07215	ko01110
K07226	ko01110
K07382	ko01110
K07384	ko01110
K07385	ko01110
K07404	ko01110
K07405	ko01110
K07409	ko01110
K07419	ko01110
K07508	ko01110
K07509	ko01110
K07511	ko01110
K07513	ko01110
K07514	ko01110
K07515	ko01110
K07748	ko01110
K07750	ko01110
K08074	ko01110
K08081	ko01110
K08099	ko01110
K08100	ko01110
K08101	ko01110
K08233	ko01110
K08241	ko01110
K08242	ko01110
K08243	ko01110
K08246	ko01110
K08248	ko01110
K08249	ko01110
K08261	ko01110
K08289	ko01110
K08295	ko01110
K08591	ko01110
K08658	ko01110
K08680	ko01110
K08683	ko01110
K08693	ko01110
K08695	ko01110
K08730	ko01110
K08973	ko01110
K08977	ko01110
K09128	ko01110
K09459	ko01110
K09460	ko01110
K09478	ko01110
K09483	ko01110
K09587	ko01110
K09588	ko01110
K09589	ko01110
K09590	ko01110
K09591	ko01110
K09699	ko01110
K09753	ko01110
K09754	ko01110
K09755	ko01110
K09756	ko01110
K09757	ko01110
K09827	ko01110
K09828	ko01110
K09829	ko01110
K09831	ko01110
K09832	ko01110
K09833	ko01110
K09834	ko01110
K09835	ko01110
K09836	ko01110
K09837	ko01110
K09838	ko01110
K09839	ko01110
K09840	ko01110
K09841	ko01110
K09842	ko01110
K09843	ko01110
K09844	ko01110
K09845	ko01110
K09846	ko01110
K09847	ko01110
K09879	ko01110
K09881	ko01110
K09913	ko01110
K10027	ko01110
K10046	ko01110
K10047	ko01110
K10106	ko01110
K10150	ko01110
K10156	ko01110
K10187	ko01110
K10203	ko01110
K10205	ko01110
K10206	ko01110
K10208	ko01110
K10209	ko01110
K10210	ko01110
K10211	ko01110
K10212	ko01110
K10226	ko01110
K10244	ko01110
K10245	ko01110
K10246	ko01110
K10247	ko01110
K10248	ko01110
K10249	ko01110
K10250	ko01110
K10251	ko01110
K10258	ko01110
K10525	ko01110
K10526	ko01110
K10527	ko01110
K10528	ko01110
K10529	ko01110
K10536	ko01110
K10566	ko01110
K10703	ko01110
K10705	ko01110
K10717	ko01110
K10757	ko01110
K10760	ko01110
K10775	ko01110
K10814	ko01110
K10815	ko01110
K10816	ko01110
